gene-name	chromosome	start	stop
PITPNM3	17	6354583	6459877
OR7G2	19	9212945	9213982
PSIP1	9	15464064	15511017
SNRPB2	20	16710606	16722421
TMEM186	16	8889037	8891505
LAPTM4B	8	98787809	98864826
OR7G1	19	9225274	9226439
PMM2	16	8891674	8943188
CXorf23	X	19930978	19988416
KIAA0753	17	6481646	6544247
OR7G3	19	9236688	9237626
CARHSP1	16	8946799	8962863
ZNF317	19	9251073	9274089
OTOR	20	16729003	16750707
MAP7D2	X	20024831	20135016
USP7	16	8985951	9057341
PCSK2	20	17206752	17465223
MATN2	8	98881311	99048944
TXNDC17	17	6544078	6547920
FJX1	11	35639735	35642419
C9orf93	9	15553005	16061661
MED31	17	6546635	6554954
TRIM44	11	35684353	35830930
C17orf100	17	6554971	6556617
SLC13A5	17	6588032	6616740
BFSP1	20	17474550	17549865
AC090692.1	11	35881794	35883097
LDLRAD3	11	35965628	36253686
DSTN	20	17550508	17588887
NARG2	15	60711808	60771344
EIF1AX	X	20142636	20159962
C11orf55	11	36290834	36294909
COMMD9	11	36293843	36310999
C16orf72	16	9185475	9215497
RRBP1	20	17594323	17662940
OR7D2	19	9296279	9299493
XAF1	17	6659156	6678962
GRIN2A	16	9847261	10276611
OR7D4	19	9324575	9325513
RPS6KA3	X	20168029	20285218
RORA	15	60780483	61521518
AC006271.3	19	9346135	9346812
PRR5L	11	36397555	36486753
OR7E24	19	9361606	9362820
C9orf92	9	16203933	16276311
ZNF699	19	9404951	9415795
RPL30	8	99053954	99059858
BNC2	9	16416404	16870841
TRAF6	11	36510723	36531822
ATF7IP2	16	10479912	10577495
FBXO39	17	6679551	6690965
VPS13C	15	62144588	62352672
TEKT1	17	6701312	6735080
C8orf47	8	99076750	99105838
AC027763.2	17	6888442	6915653
ZNF559	19	9434873	9454519
HRSP12	8	99114567	99129418
CNKSR2	X	21392560	21672813
ALOX12	17	6899384	6914055
EMP2	16	10622279	10674555
BANF2	20	17680587	17716516
CNTLN	9	17134980	17503921
POP1	8	99129540	99170642
RNASEK	17	6915798	6917850
AC027277.1	16	10622435	10626617
TEKT5	16	10721358	10788802
RAG1	11	36589563	36601312
SNX5	20	17922241	17949623
NUBP1	16	10837678	10863208
C17orf49	17	6918073	6920838
RAG2	11	36613495	36619812
ZNF177	19	9473696	9492864
NIPAL2	8	99204387	99306621
FAM18A	16	10855083	10912621
SH3GL2	9	17578953	17797127
BCL6B	17	6926369	6932961
C2CD4A	15	62359176	62363109
C11orf74	11	36616070	36680821
C2CD4B	15	62455737	62457482
AC126323.1	15	62534782	62536357
AC126323.4	15	62538632	62540994
KCNS2	8	99439250	99445076
KLHL34	X	21673609	21676448
LRRC4C	11	40135753	40315664
AP003355.2	8	99466861	99895984
TLN2	15	62939477	63136830
CIITA	16	10971039	11023624
ADAMTSL1	9	18473892	18910948
SLC16A13	17	6939477	6943438
SMPX	X	21724090	21776281
SLC16A11	17	6944949	6947242
API5	11	43333505	43366080
MBTPS2	X	21857754	21903542
OVOL2	20	17937623	18039832
ZNF266	19	9523272	9546234
CLEC10A	17	6977857	6983600
OSR2	8	99956631	99964332
YY2	X	21874560	21875775
C20orf72	20	17949556	17971765
DEXI	16	11022748	11036317
CLEC16A	16	11038345	11276046
SMS	X	21958691	22025318
CSRP2BP	20	18118499	18169031
TPM1	15	63334831	63364111
ASGR2	17	7004641	7018142
VPS13B	8	100025494	100889808
FAM154A	9	18927656	19033251
TTC17	11	43380491	43515493
RRAGA	9	19049372	19051019
SOCS1	16	11348262	11350036
PHEX	X	22050559	22269427
AC009121.3	16	11349337	11350010
HAUS6	9	19053141	19103117
TNP2	16	11361714	11363160
AL050321.1	20	18118600	18123001
ZNF133	20	18269121	18297640
PRM3	16	11367144	11367452
ASGR1	17	7076750	7082883
PRM2	16	11369493	11370337
ZNF645	X	22291065	22292574
DLG4	17	7093209	7123369
DDX53	X	23018087	23020204
PRM1	16	11374693	11375207
LACTB	15	63413999	63434260
ZNF560	19	9577009	9609279
PTCHD1	X	23352133	23422489
HSD17B12	11	43702143	43878160
C16orf75	16	11410636	11445619
PRDX4	X	23682379	23704516
RPS27L	15	63445539	63450220
AC099489.2	16	11536047	11585611
PLIN2	9	19108373	19149288
AC007616.1	16	11609462	11690470
LITAF	16	11641582	11680806
RAB8B	15	63481668	63559981
ACOT9	X	23720370	23784592
ALKBH3	11	43902357	43941823
ZNF426	19	9638683	9649303
APH1B	15	63569749	63601325
DENND4C	9	19288622	19374275
COX6C	8	100890372	100905895
RGS22	8	100973276	101118344
SNN	16	11762270	11773015
ZNF121	19	9676292	9695209
ACADVL	17	7123131	7128587
TXNDC11	16	11772943	11836704
AC087521.4	11	43946892	43964823
ACCSL	11	44069531	44081527
SAT1	X	23801290	23804343
CA12	15	63613577	63674360
C20orf12	20	18364011	18447829
ZNF561	19	9715356	9732075
ACCS	11	44087729	44105569
ZC3H7A	16	11844442	11891099
USP3	15	63796810	63883659
DVL2	17	7128660	7137868
RPS6	9	19375713	19380252
PHF23	17	7138350	7142825
FBXO43	8	101145659	101158076
RSL1D1	16	11931196	11945442
EXT2	11	44117099	44266979
ACER2	9	19408925	19452018
AC025647.3	8	101162839	101166230
ZNF562	19	9759363	9785776
POLR3F	20	18447771	18465287
GABARAP	17	7143333	7145772
SLC24A2	9	19515978	19786926
GSPT1	16	11961987	12010519
SPAG1	8	101170263	101254130
DULLARD	17	7146906	7155280
MLLT3	9	20341663	20622542
FBXL22	15	63889552	63894627
C17orf81	17	7155372	7163250
HERC1	15	63900818	64126147
RBBP9	20	18467184	18477887
ALX4	11	44281994	44331619
SEC23B	20	18488137	18542059
RNF19A	8	101269288	101322327
ZNF812	19	9800814	9811452
CLDN7	17	7162666	7166519
KIAA1797	9	20658308	20995954
CD82	11	44587141	44641313
ZNF846	19	9868151	9879410
SLC2A4	17	7185053	7191576
APOO	X	23851470	23926051
AC007216.2	16	12021230	12035902
TNFRSF17	16	12058964	12061925
AC089987.2	12	48953680	48956739
RUNDC2A	16	12070602	12147141
YBX2	17	7191571	7197876
LALBA	12	48961468	48963829
ANKRD46	8	101522805	101571987
SNX29	16	12146055	12668145
CXorf58	X	23925918	23957624
FBXL12	19	9920947	9929731
KLHL15	X	24001837	24045303
C12orf41	12	49046997	49076035
EIF2S3	X	24072833	24096088
UBL5	19	9938568	9940797
TSPAN18	11	44881875	44952874
EIF5A	17	7210318	7215782
SNX31	8	101585116	101661893
AC007601.1	16	12180609	12184159
AC092365.1	16	12296907	12297518
CPPED1	16	12753657	12897744
ZFX	X	24167290	24234206
CCNT1	12	49086752	49110781
DTD1	20	18568537	18744561
TP53I11	11	44925324	44972840
PIN1	19	9945999	9960358
DAPK2	15	64199235	64338521
PTPLAD2	9	21003620	21031635
PABPC1	8	101715144	101734315
C20orf78	20	18790372	18810797
SHISA9	16	12995455	13329566
C20orf79	20	18794370	18795033
ADCY6	12	49159975	49177877
IFNB1	9	21077104	21077943
SLC24A3	20	19193290	19703545
PRDM11	11	45115564	45246903
ERCC4	16	14014014	14046205
OLFM2	19	9964438	10047228
FAM96A	15	64364758	64386217
IFNW1	9	21140631	21142144
AC103681.1	11	45230542	45236289
PDK3	X	24483338	24557954
RIN2	20	19867165	19983101
SNX1	15	64388177	64436433
IFNA21	9	21165636	21166659
COL5A3	19	10070237	10121147
SYT13	11	45261853	45307884
IFNA4	9	21186617	21187598
IFNA7	9	21201468	21202204
MKL2	16	14173145	14360629
IFNA10	9	21206180	21207142
IFNA16	9	21216372	21217310
IFNA17	9	21227254	21228240
CHST1	11	45670427	45687172
GPS2	17	7215978	7222394
YWHAZ	8	101930804	101965616
IFNA14	9	21239201	21239978
CACNB3	12	49212512	49222724
AC044839.1	11	45792983	45793908
PCYT1B	X	24576204	24690794
NAT5	20	19997760	20014299
SLC35C1	11	45825623	45834566
IFNA5	9	21304325	21305311
RDH8	19	10123925	10132954
KLHL9	9	21331018	21335429
NEURL4	17	7218951	7232638
C19orf66	19	10196806	10203927
IFNA6	9	21349834	21351377
IFNA13	9	21367371	21368075
POLA1	X	24712036	25015103
CRNKL1	20	20015012	20036690
DDX23	12	49223540	49245957
ACAP1	17	7239848	7254797
CRY2	11	45868669	45904798
IFNA2	9	21384254	21385396
ANGPTL6	19	10203015	10213472
SNX22	15	64443916	64449680
PARN	16	14529559	14724124
IFNA8	9	21409146	21410184
KCTD11	17	7255208	7258258
IFNA1	9	21440440	21441315
PPIB	15	64448011	64455404
PPAN	19	10216899	10225456
TMEM95	17	7258442	7260538
IFNE	9	21480838	21482312
MTAP	9	21802635	22032985
C20orf26	20	20033158	20341346
TNK1	17	7284365	7293092
CSNK1G1	15	64457716	64648442
ARX	X	25021811	25034065
ZNF706	8	102209268	102217960
MAPK8IP1	11	45907202	45928016
RND1	12	49250931	49259681
MAGEB18	X	26156460	26158852
MAGEB6	X	26210557	26213763
CCDC65	12	49297893	49325260
PPAN-P2RY11	19	10217071	10225414
PLSCR3	17	7293055	7297843
AP001208.2	8	102374022	102384935
MAGEB5	X	26235419	26236387
VENTXP1	X	26577073	26577174
GRHL2	8	102504660	102681954
MAGEB10	X	27826107	27841131
P2RY11	19	10222214	10226048
KIAA0101	15	64657193	64673709
C9orf53	9	21967138	21967753
EIF3G	19	10225690	10230599
C11orf94	11	45928085	45928833
CDKN2A	9	21967752	21995300
PEX16	11	45931221	45939674
DCAF8L1	X	27996110	27999566
FKBP11	12	49315752	49319330
TRIP4	15	64680003	64747502
IL1RAPL1	X	28605516	29974840
ZNF609	15	64752941	64978267
BFAR	16	14726672	14763093
NCALD	8	102698771	103137135
C17orf61	17	7306294	7307456
CDKN2B	9	22002902	22009280
GYLTL1B	11	45944243	45950647
OAZ2	15	64979773	64983807
ARF3	12	49329506	49351310
NLGN2	17	7311502	7323179
PLA2G10	16	14766402	14827644
DMRTA1	9	22446840	22452472
DNMT1	19	10244023	10305755
SPEM1	17	7323679	7326926
MAGEB2	X	30233677	30238206
ELAVL2	9	23690102	23826335
MAGEB3	X	30248553	30255607
AC073610.4	12	49331806	49351241
C17orf74	17	7328935	7330884
WNT10B	12	49359123	49365546
AC136443.1	16	14805442	14859289
MAGEB4	X	30260169	30262293
TMEM102	17	7338762	7340998
MAGEB1	X	30261847	30270155
RBPMS2	15	65032097	65067786
FGF11	17	7342689	7348256
CHRNB1	17	7348380	7361026
PHF21A	11	45950871	46142985
PIF1	15	65107831	65117867
NR0B1	X	30322323	30327715
NOMO1	16	14927538	14990017
ZBTB4	17	7362685	7387517
WNT1	12	49372236	49376396
INSM1	20	20348765	20351590
C9orf134	9	24542958	24545944
CXorf21	X	30576941	30595961
TUSC1	9	25676396	25678856
GK	X	30671476	30748725
PLEKHO2	15	65134082	65214680
AL356791.1	9	26101443	26118406
RALGAPA2	20	20370196	20693266
C9orf82	9	26840683	26892802
CTD-2017F17.1	15	65134147	65223118
DDN	12	49388932	49393092
AMAC1L3	17	7384715	7386383
PLAA	9	26904081	26947461
ANKDD1A	15	65204101	65251042
PRKAG1	12	49396058	49412592
POLR2A	17	7387866	7417933
RRM2B	8	103216732	103251346
CREB3L1	11	46299228	46342970
IFT74	9	26947037	27062928
NPIP	16	15016659	15045915
S1PR2	19	10332109	10341948
AC138932.3	16	15016659	15029118
MRPL4	19	10362640	10370736
DGKZ	11	46354739	46402104
MLL2	12	49412762	49449107
PDXDC1	16	15068833	15131550
LRRC19	9	26993134	27005670
UBR5	8	103265572	103424495
TEK	9	27109147	27230173
MAP3K7IP3	X	30845559	30993201
TNFSF12	17	7452208	7461207
AL121896.1	20	20439343	20446222
XRN2	20	21283942	21370463
SPG21	15	65255362	65282274
TNFSF12-TNFSF13	17	7452416	7464918
ICAM1	19	10381517	10397291
TNFSF13	17	7461609	7464925
C9orf11	9	27284659	27297137
MTFMT	15	65293851	65321977
FTHL17	X	31089360	31090170
MOBKL2B	9	27325207	27529779
DMD	X	31132808	33357558
NKX2-4	20	21376005	21378047
AC013553.1	15	65337708	65345734
NKX2-2	20	21491648	21494699
C9orf35	9	27374215	27378942
IFNK	9	27524312	27526496
C9orf72	9	27546544	27573864
PAX1	20	21686297	21696620
RHEBL1	12	49458468	49463808
SENP3	17	7465319	7475285
RASL12	15	65345675	65368936
ICAM4	19	10397650	10399198
NTAN1	16	15131710	15149921
PDCD7	15	65409717	65426174
FOXA2	20	22561643	22566101
EIF4A1	17	7476024	7482324
ICAM5	19	10400655	10407452
AP002852.1	8	103463991	103464245
LINGO2	9	27948076	28670283
ODF1	8	103563848	103573245
DHH	12	49483208	49488602
CLPX	15	65440557	65477762
RRN3	16	15153879	15188171
KLF10	8	103661007	103667983
CILP	15	65488337	65503826
LMBR1L	12	49490919	49504681
ACO1	9	32384601	32450834
ZGLP1	19	10415479	10420556
CD68	17	7482922	7485431
PARP16	15	65550432	65579210
FDX1L	19	10416103	10426691
SSTR4	20	23016057	23017314
AZIN1	8	103838536	103876397
MPDU1	17	7486974	7495790
IGDCC3	15	65619465	65670378
THBD	20	23026270	23030378
MPV17L	16	15489611	15503543
MDK	11	46402306	46405375
CD93	20	23059986	23066977
RAVER1	19	10426895	10444314
TUBA1B	12	49521569	49525304
C16orf45	16	15528325	15682116
NXT1	20	23331373	23335414
IGDCC4	15	65673802	65715410
GZF1	20	23342819	23353700
KIAA0430	16	15688244	15737023
ATP6V1C1	8	104033248	104085285
DDX58	9	32455300	32526322
ICAM3	19	10444454	10450345
DPP8	15	65734801	65810042
SOX15	17	7491498	7493488
TYK2	19	10461205	10489184
FXR2	17	7494548	7518160
NAPB	20	23355159	23402156
TOPORS	9	32540542	32552551
C8orf56	8	104145191	104153570
CHRM4	11	46406648	46408158
BAALC	8	104152921	104242530
NDE1	16	15737124	15820210
NDUFB6	9	32552997	32573160
AMBRA1	11	46417964	46612914
TIGD1L2	9	32566787	32568619
TAF1L	9	32629452	32635667
TMEM215	9	32783497	32787397
APTX	9	32972604	33025166
SAT2	17	7529552	7531187
CDC37	19	10501809	10514271
FZD6	8	104311100	104345087
MYH11	16	15796992	15950890
PTPLAD1	15	65822825	65870693
CSTL1	20	23420322	23425567
SHBG	17	7531374	7536701
CST11	20	23431040	23433494
TUBA1A	12	49578585	49582861
CTHRC1	8	104383743	104395221
CST8	20	23471738	23476655
RP11-218C14.7	20	23528401	23531289
ATP1B2	17	7554254	7561087
CST9L	20	23545369	23549386
C15orf44	15	65871095	65903474
SLC25A32	8	104410869	104427468
CST9	20	23583047	23586513
PDE4A	19	10527619	10580305
CST3	20	23608534	23619110
TP53	17	7565257	7590856
HARBI1	11	46624411	46638777
KIAA0652	11	46638826	46696367
FAM47A	X	34147873	34150428
DCAF13	8	104427219	104455678
CST4	20	23666277	23669677
TMEM47	X	34645181	34675405
FAM47B	X	34960931	34963034
CST1	20	23728190	23731905
MAGEB16	X	35816459	35821852
SLC24A1	15	65914270	65948598
CST2	20	23804406	23807368
CST5	20	23856572	23860387
CXorf22	X	35937851	36008269
GGTLA4	20	23965690	23969416
C16orf63	16	15959576	15982472
RIMS2	8	104512976	105268322
CXorf59	X	36053913	36163187
ABCC1	16	16043434	16236931
TMEM90B	20	24449835	24647252
DENND4A	15	65952959	66084631
CST7	20	24929866	24940564
DNAJA1	9	33025209	33039905
CXorf30	X	36246735	36403178
TUBA1C	12	49658865	49667116
C20orf3	20	24943561	24973615
SMU1	9	33041762	33076657
FAM47C	X	37026470	37029739
PRRG1	X	37208528	37316548
ACSS1	20	24986868	25039616
PRPH	12	49687485	49692465
ARHGAP1	11	46698634	46722120
B4GALT1	9	33110635	33167354
KEAP1	19	10596796	10614054
RP5-972B16.2	X	37208583	38546928
LANCL3	X	37430822	37543716
SPINK4	9	33218363	33248565
XK	X	37545012	37591383
CYBB	X	37639264	37672714
TROAP	12	49716971	49725514
VSX1	20	25052120	25062996
BAG1	9	33247818	33264761
ZNF408	11	46722368	46727461
ABCC6	16	16243422	16317328
TM7SF4	8	105352052	105368916
RAB11A	15	66161789	66184329
DYNLT3	X	37696010	37706890
S1PR5	19	10623622	10628127
CHMP5	9	33264940	33281525
DPYS	8	105391653	105479277
C1QL4	12	49726194	49730966
F2	11	46740730	46761056
ENTPD6	20	25176329	25207365
DNAJC22	12	49740700	49745683
CXorf27	X	37850070	37850569
ATG4D	19	10654593	10664093
SPATS2	12	49760688	49921207
MEGF11	15	66187634	66546085
LRP12	8	105501467	105601220
SYTL5	X	37865835	37988069
NFX1	9	33290509	33371155
NOMO3	16	16326389	16388667
KRI1	19	10663761	10676713
CKAP5	11	46765086	46867843
SRPX	X	38008592	38080696
KCNH3	12	49932940	49952059
ZFPM2	8	106331147	106816763
CDKN2D	19	10677139	10679655
RPGR	X	38128424	38186817
MCRS1	12	49952088	49961911
AP1M2	19	10683347	10697991
OXR1	8	107282473	107764922
WRAP53	17	7589389	7606820
AQP7	9	33384948	33402517
AC138969.4	16	16425734	16444447
PYGB	20	25228705	25278650
SLC44A2	19	10736229	10755232
AC138969.2	16	16460584	16462588
AQP3	9	33441152	33447609
AC136619.1	16	16470790	16487799
AC109446.1	16	17190058	17190279
OTC	X	38211798	38280703
FAM186B	12	49981290	49999422
XYLT1	16	17201254	17564738
ABHD12	20	25275379	25371619
TSPAN7	X	38420623	38548169
AC126755.1	16	18411825	18412286
PRPF40B	12	50017403	50038449
AC126755.2	16	18421906	18443536
DIS3L	15	66585555	66626236
NOL6	9	33461354	33473941
ABRA	8	107771712	107782472
ANGPT1	8	108261723	108510283
AC126755.4	16	18451959	18470696
LRP4	11	46878419	46940173
NOMO2	16	18511182	18573533
TIPIN	15	66629052	66649054
MAP2K1	15	66679155	66783882
ANKRD18B	9	33524392	33573007
AC011475.1	19	10751715	10752093
ILF3	19	10764937	10803093
MID1IP1	X	38660685	38665790
SNAPC5	15	66782666	66790146
RSPO2	8	108911544	109095913
TRBV20OR9-2	9	33617760	33618504
GINS1	20	25388323	25433264
TRBV23OR9-2	9	33638033	33638492
RPL4	15	66790801	66797221
TRBV25OR9-2	9	33649098	33662705
BCOR	X	39909068	40036582
EFNB3	17	7608520	7614696
EIF3E	8	109213973	109260959
PRSS3	9	33750515	33799230
RPS15A	16	18792617	18801656
DNAH2	17	7623039	7737058
NINL	20	25433341	25566153
ARL6IP1	16	18802991	18812917
UBE2R2	9	33817565	33920402
FMNL3	12	50031724	50101197
SMG1	16	18816175	18937726
NANP	20	25593571	25604811
ZNF337	20	25654851	25677477
UBAP2	9	33921691	34048947
ATP6AP2	X	40440160	40465889
TTC35	8	109455853	109499135
CXorf38	X	40488285	40506806
QTRT1	19	10812112	10824040
FAM182B	20	25744102	25848786
TMBIM6	12	50135293	50174322
KDM6B	17	7743222	7758106
MED14	X	40507558	40595110
TMEM74	8	109795346	109799770
AL390198.1	20	25762682	25767387
C11orf49	11	46958251	47185927
TRHR	8	110099724	110131813
C20orf91	20	26035291	26073683
ZWILCH	15	66797431	66841823
NUDCD1	8	110253149	110346350
DNM2	19	10824143	10942579
KIAA1602	12	50184929	50222533
TMEM88	17	7758376	7759417
AL391119.1	20	26084052	26094677
LSMD1	17	7760005	7761172
USP9X	X	40944888	41092185
FRG1B	20	29611857	29634010
LCTL	15	66840648	66857835
BCDIN3D	12	50231560	50236875
CYB5D1	17	7761064	7765598
FAIM2	12	50260680	50297720
SMAD6	15	66994634	67074338
TMC7	16	18995274	19074503
ARFGAP2	11	47185854	47198419
CHD3	17	7788124	7816078
ENY2	8	110346570	110355898
SMAD3	15	67358183	67487533
DEFB115	20	29845467	29847435
DEFB116	20	29891015	29896388
PKHD1L1	8	110374706	110543500
DDX3X	X	41192651	41223725
DEFB117	20	29948578	29948706
DCAF12	9	34086386	34134183
DEFB118	20	29956421	29961726
AC131157.1	12	50271479	50274034
DEFB119	20	29964967	29978406
AC131157.2	12	50302668	50305646
COQ7	16	19078921	19091417
AQP2	12	50344524	50352659
AAGAB	15	67493371	67547074
DEFB121	20	29992648	30000641
ITPRIPL2	16	19125282	19132946
DEFB123	20	30028322	30038060
SYT17	16	19179571	19279652
UBAP1	9	34179011	34252521
AQP5	12	50355279	50359459
IQCH	15	67547138	67794142
DEFB124	20	30053309	30064560
KIF24	9	34252379	34329198
PACSIN3	11	47199083	47207958
REM1	20	30063096	30072708
AQP6	12	50360977	50370922
TMC5	16	19422045	19510435
NYX	X	41306687	41334963
HM13	20	30102231	30157370
CASK	X	41374187	41782716
RACGAP1	12	50382945	50419307
TMED1	19	10943115	10946983
C15orf61	15	67813522	67819639
C19orf38	19	10959106	10980360
MAP2K5	15	67835021	68099461
KCNAB3	17	7825177	7832753
NUDT2	9	34329504	34343709
CARM1	19	10982253	11033448
DDB2	11	47236493	47260767
GDE1	16	19513015	19533450
TRAPPC1	17	7833663	7835266
CNTROB	17	7835473	7852895
EBAG9	8	110551929	110577387
AC012621.2	16	19535208	19564730
KIAA1161	9	34366668	34376851
YIPF2	19	11033444	11039357
C9orf24	9	34379017	34397849
LBXCOR1	15	68112042	68126174
AC079061.1	8	110586417	110704020
C19orf52	19	11039424	11040914
SMARCA4	19	11071598	11172958
C16orf62	16	19566785	19712442
ID1	20	30193086	30194318
ACP2	11	47260856	47270457
ACCN2	12	50451487	50477393
PIAS1	15	68346572	68480402
C9orf25	9	34398182	34458568
COX4I2	20	30225691	30232809
GPR34	X	41548226	41556526
BCL2L1	20	30252255	30311792
GPR82	X	41583408	41589388
MAOA	X	43515467	43606068
CALML4	15	68483043	68498448
GUCY2D	17	7905988	7923658
SMARCD1	12	50478983	50494495
NR1H3	11	47269851	47290401
DNAI1	9	34457412	34520982
ALOX15B	17	7942358	7952452
MAOB	X	43625858	43741693
CLN6	15	68499330	68522080
GPD1	12	50497801	50505091
TPX2	20	30327074	30389608
FEM1B	15	68570141	68588203
NDP	X	43808022	43832750
C12orf62	12	50505900	50514234
ITGA11	15	68594050	68724492
LASS5	12	50523608	50561145
EFHC2	X	44007128	44202923
ALOX12B	17	7975954	7991022
KCNV1	8	110979235	110986959
ENHO	9	34521038	34523039
MYLK2	20	30407111	30422492
AC129492.6	17	7982800	7984883
CNTFR	9	34551430	34590121
ALOXE3	17	7999218	8021860
CSMD3	8	113235157	114449328
C16orf88	16	19717676	19729556
FOXS1	20	30432103	30433420
CORO2B	15	68871308	69020145
C9orf23	9	34610483	34612101
LIMA1	12	50569565	50677353
IQCK	16	19727778	19868907
DUSP15	20	30435440	30458550
FUNDC1	X	44382885	44402247
DCTN3	9	34613548	34620478
ANP32A	15	69070874	69113236
HES7	17	8024299	8027402
DUSP21	X	44703250	44704130
GPRC5B	16	19868616	19896239
PER1	17	8043809	8059678
KDM6A	X	44732423	44971847
SPESP1	15	69222839	69239150
AC002990.1	16	20015725	20114175
GPR139	16	20042807	20085239
NOX5	15	69222864	69349501
ARID3C	9	34621376	34628104
SIGMAR1	9	34634719	34637806
GP2	16	20320896	20338902
MADD	11	47290712	47351582
FAM186A	12	50721095	50790405
TTLL9	20	30458505	30532770
LARP4	12	50794650	50873779
GALT	9	34638130	34651032
GLCE	15	69452973	69564538
UMOD	16	20344373	20364037
VAMP2	17	8054134	8066864
PAQR5	15	69591286	69699986
TMEM107	17	8076296	8079727
PDRG1	20	30532758	30539895
CXorf36	X	45007619	45060146
KIF23	15	69706688	69745160
LDLR	19	11200057	11244506
XKR7	20	30555805	30586256
C20orf160	20	30598245	30619984
ZNF673	X	46306292	46356857
C17orf59	17	8091652	8093564
IL11RA	9	34652182	34661884
AURKB	17	8108051	8113936
HCK	20	30640000	30689659
TRPS1	8	116420724	116821899
C17orf68	17	8128140	8151413
CHST7	X	46433219	46457843
PDILT	16	20370492	20416059
SLC9A7	X	46464753	46618490
EIF3H	8	117657056	117768232
RPLP1	15	69745123	69748172
ACSM5	16	20420856	20452658
CCL27	9	34661893	34662689
DIP2B	12	50898768	51142450
CCL19	9	34689564	34691274
RP2	X	46696375	46741793
ACSM2A	16	20462898	20498989
TM9SF4	20	30697309	30755061
CCL21	9	34709002	34710121
TLE3	15	70340543	70390256
CXorf31	X	46746852	46759138
PHF16	X	46771711	46920641
RP11-195F19.10	9	34723052	34729464
C9orf144	9	34830901	34838494
PFAS	17	8152613	8173809
AL589645.1	9	34833818	34835488
KIAA1045	9	34957605	34984679
ATF1	12	51157819	51214907
MYBPC3	11	47352957	47374253
SPC24	19	11256170	11266484
UTP23	8	117778742	117798816
SLC25A35	17	8191082	8198661
DNAJB5	9	34989725	34998428
TMPRSS12	12	51236701	51281661
RAD21	8	117858174	117887105
KANK2	19	11274943	11308224
RGN	X	46937775	46952712
ACSM2	16	20547583	20587673
METTL7A	12	51318534	51326300
RANGRF	17	8191989	8193403
HIGD1C	12	51347782	51364289
ACSM1	16	20634559	20702578
PLAGL2	20	30780306	30795594
C8orf85	8	117950464	117956237
SLC11A2	12	51375509	51422008
SLC30A8	8	117963218	118188953
NDUFB11	X	47001615	47004903
POFUT1	20	30795683	30826470
DOCK6	19	11309973	11373157
C9orf131	9	35024143	35045987
THUMPD1	16	20744986	20753406
ARHGEF15	17	8213559	8225834
RBM10	X	47004268	47046212
VCP	9	35056061	35073246
KIF3B	20	30865467	30922814
UACA	15	70946893	71055898
ACSM3	16	20775312	20808903
MED30	8	118532965	118552499
ODF4	17	8243182	8249364
ASXL1	20	30946153	31027122
KRBA2	17	8271955	8280029
EXT1	8	118806729	119123938
RPL26	17	8280838	8286568
ERI2	16	20791515	20833329
LARP6	15	71123877	71146498
AC108475.1	4	170724	173527
RNF222	17	8294027	8301144
AC011472.1	19	11348126	11352618
Z95704.2	4	262968	467905
SAMD12	8	119201699	119634132
NDEL1	17	8339179	8383942
SPI1	11	47376409	47400127
THAP10	15	71173681	71185098
FANCG	9	35073832	35080013
AC004381.6	16	20817767	20860990
TSPAN16	19	11406824	11437672
LRRC49	15	71174891	71342434
TNFRSF11B	8	119935797	119964383
C20orf112	20	31030862	31172876
LETMD1	12	51442084	51454207
RAB3D	19	11435094	11450321
SLC39A13	11	47430051	47438044
UBA1	X	47050260	47074527
COLEC10	8	120079446	120119195
ZNF141	4	331603	378653
TMEM205	19	11453452	11456981
DCUN1D3	16	20869396	20911706
PIGO	9	35088685	35096591
LYRM1	16	20911557	20936328
MYH10	17	8377523	8534079
ZNF721	4	419224	492945
MAL2	8	120220610	120257909
PSMC3	11	47440320	47448024
THSD4	15	71389291	72075722
RP11-410N8.4	20	31152794	31196695
NOV	8	120428552	120436678
CCDC159	19	11455357	11465619
COMMD7	20	31290493	31331814
DNAH3	16	20944433	21170762
PIGG	4	492989	533985
DNMT3B	20	31350191	31397162
AC024575.1	19	11466107	11476372
ENPP2	8	120569319	120651106
STOML2	9	35099888	35103154
CSRNP2	12	51454990	51477333
TFCP2	12	51488624	51566664
CT62	15	71402589	71407839
NR2E3	15	72102894	72110559
RAPSN	11	47459308	47470730
C19orf39	19	11485383	11487627
EPOR	19	11488475	11495019
CCDC42	17	8633252	8648154
KIAA1539	9	35104109	35115999
TMEM159	16	21169698	21191937
POU6F1	12	51580720	51611477
SPDYE4	17	8656424	8661877
MYO9A	15	72114632	72410422
CELF1	11	47489946	47574688
MFSD6L	17	8700481	8702586
ZP2	16	21208771	21225831
RGL3	19	11495232	11530006
PIK3R5	17	8782228	8869024
PDE6B	4	619373	664571
DAZAP2	12	51632508	51640501
MAPRE1	20	31407699	31438211
UNC13B	9	35161999	35405335
INE1	X	47064320	47065264
ANKS4B	16	21245016	21263750
PCTK1	X	47077528	47089396
TAF2	8	120743015	120845074
CRYM	16	21269842	21314372
NTN1	17	8924859	9147317
EFCAB8	20	31446729	31549415
STX8	17	9153789	9479275
PTPMT1	11	47586982	47595012
ATP5I	4	666225	668127
SMAGP	12	51639133	51664202
WDR16	17	9479944	9546776
RUNDC2C	16	21391313	21403412
MYL5	4	667369	675822
DSCC1	8	120846184	120868170
